,evt_id,orig_time,lat,lon,dep,ML,Mw_p,Mw_s,fc_p,fc_s,no_p_hq,no_s_hq,no_p_lq,no_s_lq,no_p_lq_fit,no_s_lq_fit
0,e20160905.121219,2016-09-05T12:12:19.980000Z,17.2845,-61.3701,29.76,4.0571857309,4.12446307664,4.04380425189,6.1,6.1,24,12,24,16,12,5
1,e20170212.201626,2017-02-12T20:16:17.860000Z,14.9929,-61.4668,190.12,3.61114840135,3.24314479383,3.33064516603,7.46987793581,7.46987793581,30,19,33,29,15,7
